page,title,date,total,available,type,pay,percent,dates,days
214108,[제로비즈캠퍼스] 하루만에 비트맥스Bitmex 트레이딩봇 만들기,2020.5.23 (토) 10:00 ~ 18:00,2.0,0.0,교육,유료,1.0,2020-05-23,(토)
214109,창업설명회,2020.5.12 (화) 14:00 ~ 16:00,5.0,0.0,교육,무료,1.0,2020-05-12,(화)
214112,[4차 앵콜] 온라인_ 2020 인스타그램 완전정복 세미나 <채널 운영과 UGC 편>,2020.5.12 (화) 14:00 ~ 18:00,199.0,0.0,세미나/컨퍼런스,유료,1.0,2020-05-12,(화)
214114,강남 직장인 유튜브 팩토리 크루,2020.5.2 (토) 15:00 ~ 18:00,10.0,0.0,방송/연예,무료,1.0,2020-05-02,(토)
214115,3억으로 월 수익 500만원 이상 내는 고시원 창업! 설명회 신청해서 들어보세요.,2020.5.9 (토) 14:00 ~ 15:30,10.0,0.0,세미나/컨퍼런스,무료,1.0,2020-05-09,(토)
214120,보안프로젝트 모의해킹 2개월차 결제 페이지,2020.5.4 (월) 13:00 ~ 13:30,20.0,0.0,교육,유료,1.0,2020-05-04,(월)
214121,내집 마련하기 - 나는 26살에 내 부동산을 가졌다.,2020.5.6 (수) 19:00 ~ 20:30,5.0,0.0,교육,유료,1.0,2020-05-06,(수)
214123,[5월23일(토)]실무자를 위한 PPT기획 및 디자인 클래스,2020.5.23 (토) 11:00 ~ 13:00,5.0,0.0,교육,유료,1.0,2020-05-23,(토)
214124,하고 싶은 일만 하며 사는 법,2020.5.7 (목) 14:00 ~ 16:00,7.0,0.0,강연,유료,1.0,2020-05-07,(목)
214125,"1초의 법칙, 확신의 기적",2020.5.7 (목) 16:00 ~ 18:00,6.0,0.0,강연,유료,1.0,2020-05-07,(목)
214127,(온라인)나를 만나는 1시간의 사주 테라피(5월중 언제나 가능),2020.5.28 (목) 10:00 ~ 22:00,3.0,0.0,기타,유료,1.0,2020-05-28,(목)
214128,2시간의 인생플랜 with 사주타로(5월중 언제나 가능),2020.5.28 (목) 10:00 ~ 22:00,3.0,0.0,기타,유료,1.0,2020-05-28,(목)
214129,[100%무료이벤트중][10차앵콜] 은퇴후 창업고민 중이신가요? <홀홀단신으로 시작하는 1인 여행사 창업하기>,2020.6.3 (수) 19:00 ~ 2020.6.23 (화) 21:00,160.0,0.0,교육,유료,1.0,2020-06-03,(수)
214130,[05/13]싱글 프리랜서(1인기업) 주거와 협업을 위한 주거공동체 탐방하기,2020.5.13 (수) 16:00 ~ 18:00,2.0,0.0,소모임/친목행사,무료,1.0,2020-05-13,(수)
214131,하루만에 나만의 이모티콘 제작부터 판매하고 돈벌기!(평일),2020.5.7 (목) 19:00 ~ 22:00,5.0,0.0,취미활동,유료,1.0,2020-05-07,(목)
214136,"[놀라운 강의] 최고의 직업, 백수",2020.5.8 (금) 09:00 ~ 11:00,10.0,0.0,강연,유료,1.0,2020-05-08,(금)
214139,올포피엠 PMP 문제 풀이반-PMBOK 6판기준,2020.5.6 (수) 19:00 ~ 21:30,50.0,0.0,교육,유료,1.0,2020-05-06,(수)
214140,[05/14]싱글 프리랜서(1인기업) 주거와 협업을 위한 주거공동체 탐방하기,2020.5.14 (목) 16:00 ~ 18:00,2.0,0.0,소모임/친목행사,무료,1.0,2020-05-14,(목)
214141,[ 5/23 토 ] 송애경 내면아이치유 전화코칭상담,2020.5.23 (토) 12:00 ~ 20:00,4.0,0.0,기타,유료,1.0,2020-05-23,(토)
214142,[ 5/24 일 ] 송애경 내면아이치유 전화코칭상담,2020.5.24 (일) 10:00 ~ 20:00,4.0,0.0,기타,유료,1.0,2020-05-24,(일)
214143,[05/05]싱글 프리랜서(1인기업) 주거와 협업을 위한 주거공동체 탐방하기,2020.5.5 (화) 16:00 ~ 18:00,2.0,0.0,소모임/친목행사,무료,1.0,2020-05-05,(화)
214144,[ 5월 ] 이지은 강사 내면아이 상처치유 E-MAIL상담,2020.5.9 (토) 10:00 ~ 18:00,6.0,0.0,기타,유료,1.0,2020-05-09,(토)
214145,[부산]지원사업 관련 모임,2020.5.2 (토) 19:00 ~ 21:00,20.0,0.0,소모임/친목행사,무료,1.0,2020-05-02,(토)
214146,해적들의 '유니콘 프로젝트',2020.5.8 (금) 14:00 ~ 16:00,7.0,0.0,세미나/컨퍼런스,유료,1.0,2020-05-08,(금)
214147,나는 투자금 없이 아이디어만으로 돈을 번다!,2020.5.8 (금) 19:00 ~ 21:00,8.0,0.0,강연,유료,1.0,2020-05-08,(금)
